Round,Accuracy,Info
1,0.8696686802123376,"{'eval_loss': 0.31581076979637146, 'eval_model_preparation_time': 0.0019, 'eval_accuracy': 0.8696686802123376, 'eval_runtime': 7.3984, 'eval_samples_per_second': 738.402, 'eval_steps_per_second': 92.317}"
2,0.882116053450485,"{'eval_loss': 0.32212233543395996, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.882116053450485, 'eval_runtime': 6.9926, 'eval_samples_per_second': 781.253, 'eval_steps_per_second': 97.674}"
3,0.8797364085667215,"{'eval_loss': 0.38998615741729736, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8797364085667215, 'eval_runtime': 6.9691, 'eval_samples_per_second': 783.893, 'eval_steps_per_second': 98.005}"
4,0.8742449203734212,"{'eval_loss': 0.4805583655834198, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8742449203734212, 'eval_runtime': 6.9417, 'eval_samples_per_second': 786.983, 'eval_steps_per_second': 98.391}"
5,0.8722313747025444,"{'eval_loss': 0.5280500054359436, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8722313747025444, 'eval_runtime': 6.9426, 'eval_samples_per_second': 786.88, 'eval_steps_per_second': 98.378}"
6,0.8705839282445543,"{'eval_loss': 0.5473375916481018, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8705839282445543, 'eval_runtime': 6.936, 'eval_samples_per_second': 787.634, 'eval_steps_per_second': 98.472}"
7,0.8685703825736775,"{'eval_loss': 0.5584344267845154, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8685703825736775, 'eval_runtime': 6.9693, 'eval_samples_per_second': 783.864, 'eval_steps_per_second': 98.001}"
8,0.8603331502837269,"{'eval_loss': 0.5566107034683228, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8603331502837269, 'eval_runtime': 6.9613, 'eval_samples_per_second': 784.77, 'eval_steps_per_second': 98.114}"
9,0.8546586124839831,"{'eval_loss': 0.5577861070632935, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8546586124839831, 'eval_runtime': 6.9492, 'eval_samples_per_second': 786.134, 'eval_steps_per_second': 98.285}"
10,0.844041735310269,"{'eval_loss': 0.5612565279006958, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.844041735310269, 'eval_runtime': 6.9564, 'eval_samples_per_second': 785.319, 'eval_steps_per_second': 98.183}"
