Round,Accuracy,Info
1,0.8555738605161999,"{'eval_loss': 0.3548702597618103, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8555738605161999, 'eval_runtime': 7.4397, 'eval_samples_per_second': 734.304, 'eval_steps_per_second': 91.805}"
2,0.8636280431997071,"{'eval_loss': 0.3258296549320221, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8636280431997071, 'eval_runtime': 6.9788, 'eval_samples_per_second': 782.803, 'eval_steps_per_second': 97.868}"
3,0.8511806699615596,"{'eval_loss': 0.3570220172405243, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8511806699615596, 'eval_runtime': 6.9465, 'eval_samples_per_second': 786.434, 'eval_steps_per_second': 98.322}"
4,0.8270181219110379,"{'eval_loss': 0.40866127610206604, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8270181219110379, 'eval_runtime': 6.9399, 'eval_samples_per_second': 787.19, 'eval_steps_per_second': 98.417}"
5,0.8023064250411862,"{'eval_loss': 0.4372292757034302, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8023064250411862, 'eval_runtime': 6.9673, 'eval_samples_per_second': 784.086, 'eval_steps_per_second': 98.029}"
6,0.7636829580816401,"{'eval_loss': 0.48356950283050537, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.7636829580816401, 'eval_runtime': 6.9489, 'eval_samples_per_second': 786.164, 'eval_steps_per_second': 98.289}"
7,0.71499176276771,"{'eval_loss': 0.5627351403236389, 'eval_model_preparation_time': 0.0016, 'eval_accuracy': 0.71499176276771, 'eval_runtime': 6.9207, 'eval_samples_per_second': 789.366, 'eval_steps_per_second': 98.689}"
8,0.6439685154676917,"{'eval_loss': 0.6329451203346252, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.6439685154676917, 'eval_runtime': 6.9515, 'eval_samples_per_second': 785.87, 'eval_steps_per_second': 98.252}"
9,0.6047958996888156,"{'eval_loss': 0.6575702428817749, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.6047958996888156, 'eval_runtime': 6.9053, 'eval_samples_per_second': 791.135, 'eval_steps_per_second': 98.91}"
10,0.5628775398132894,"{'eval_loss': 0.6882043480873108, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.5628775398132894, 'eval_runtime': 6.8671, 'eval_samples_per_second': 795.53, 'eval_steps_per_second': 99.46}"
