Round,Accuracy,Info
1,0.8592348526450668,"{'eval_loss': 0.33561354875564575, 'eval_model_preparation_time': 0.0019, 'eval_accuracy': 0.8592348526450668, 'eval_runtime': 7.4497, 'eval_samples_per_second': 733.318, 'eval_steps_per_second': 91.682}"
2,0.8669229361156874,"{'eval_loss': 0.3213587701320648, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8669229361156874, 'eval_runtime': 7.0004, 'eval_samples_per_second': 780.382, 'eval_steps_per_second': 97.566}"
3,0.8638110928061504,"{'eval_loss': 0.3483337163925171, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8638110928061504, 'eval_runtime': 6.9512, 'eval_samples_per_second': 785.907, 'eval_steps_per_second': 98.256}"
4,0.8596009518579535,"{'eval_loss': 0.39570435881614685, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8596009518579535, 'eval_runtime': 6.9303, 'eval_samples_per_second': 788.272, 'eval_steps_per_second': 98.552}"
5,0.8568552077613033,"{'eval_loss': 0.44501394033432007, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8568552077613033, 'eval_runtime': 7.0153, 'eval_samples_per_second': 778.723, 'eval_steps_per_second': 97.358}"
6,0.8405637927878455,"{'eval_loss': 0.5189399123191833, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8405637927878455, 'eval_runtime': 7.0001, 'eval_samples_per_second': 780.412, 'eval_steps_per_second': 97.569}"
7,0.8347062053816584,"{'eval_loss': 0.4824885427951813, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8347062053816584, 'eval_runtime': 6.9662, 'eval_samples_per_second': 784.211, 'eval_steps_per_second': 98.044}"
8,0.8195130880468607,"{'eval_loss': 0.46441611647605896, 'eval_model_preparation_time': 0.002, 'eval_accuracy': 0.8195130880468607, 'eval_runtime': 6.9421, 'eval_samples_per_second': 786.938, 'eval_steps_per_second': 98.385}"
9,0.8023064250411862,"{'eval_loss': 0.48807403445243835, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8023064250411862, 'eval_runtime': 6.9804, 'eval_samples_per_second': 782.619, 'eval_steps_per_second': 97.845}"
10,0.7757642321069009,"{'eval_loss': 0.514485776424408, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.7757642321069009, 'eval_runtime': 6.9933, 'eval_samples_per_second': 781.179, 'eval_steps_per_second': 97.665}"
