Round,Accuracy,Info
1,0.8270181219110379,"{'eval_loss': 0.4190784990787506, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8270181219110379, 'eval_runtime': 7.4669, 'eval_samples_per_second': 731.632, 'eval_steps_per_second': 91.471}"
2,0.8444078345231558,"{'eval_loss': 0.3790406882762909, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8444078345231558, 'eval_runtime': 7.0153, 'eval_samples_per_second': 778.728, 'eval_steps_per_second': 97.359}"
3,0.838733296723412,"{'eval_loss': 0.4083485007286072, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.838733296723412, 'eval_runtime': 6.9533, 'eval_samples_per_second': 785.666, 'eval_steps_per_second': 98.226}"
4,0.8224418817499543,"{'eval_loss': 0.46388956904411316, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8224418817499543, 'eval_runtime': 6.9863, 'eval_samples_per_second': 781.962, 'eval_steps_per_second': 97.763}"
5,0.8215266337177375,"{'eval_loss': 0.47238999605178833, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8215266337177375, 'eval_runtime': 6.9287, 'eval_samples_per_second': 788.46, 'eval_steps_per_second': 98.575}"
6,0.80962840929892,"{'eval_loss': 0.4815210998058319, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.80962840929892, 'eval_runtime': 6.9495, 'eval_samples_per_second': 786.099, 'eval_steps_per_second': 98.28}"
7,0.7827201171517482,"{'eval_loss': 0.5055854320526123, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.7827201171517482, 'eval_runtime': 6.9441, 'eval_samples_per_second': 786.71, 'eval_steps_per_second': 98.357}"
8,0.7574592714625663,"{'eval_loss': 0.513600766658783, 'eval_model_preparation_time': 0.0016, 'eval_accuracy': 0.7574592714625663, 'eval_runtime': 6.9443, 'eval_samples_per_second': 786.684, 'eval_steps_per_second': 98.353}"
9,0.7195680029287937,"{'eval_loss': 0.5595550537109375, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.7195680029287937, 'eval_runtime': 6.927, 'eval_samples_per_second': 788.651, 'eval_steps_per_second': 98.599}"
10,0.6553175910671792,"{'eval_loss': 0.6214086413383484, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.6553175910671792, 'eval_runtime': 6.9324, 'eval_samples_per_second': 788.036, 'eval_steps_per_second': 98.523}"
