Round,Accuracy,Info
1,0.5524115755627009,"{'eval_loss': 0.7002465724945068, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.5524115755627009, 'eval_f1': 0.6214701083545998, 'eval_combined_score': 0.5869408419586504, 'eval_runtime': 53.2408, 'eval_samples_per_second': 759.38, 'eval_steps_per_second': 94.927}"
2,0.8475389562206282,"{'eval_loss': 0.3438187539577484, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8475389562206282, 'eval_f1': 0.8064070351758794, 'eval_combined_score': 0.8269729956982539, 'eval_runtime': 52.9054, 'eval_samples_per_second': 764.193, 'eval_steps_per_second': 95.529}"
3,0.8331931733860994,"{'eval_loss': 0.38151994347572327, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8331931733860994, 'eval_f1': 0.7963768115942029, 'eval_combined_score': 0.8147849924901511, 'eval_runtime': 52.345, 'eval_samples_per_second': 772.376, 'eval_steps_per_second': 96.552}"
4,0.8152856789512738,"{'eval_loss': 0.4239000976085663, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8152856789512738, 'eval_f1': 0.7785553315146483, 'eval_combined_score': 0.7969205052329611, 'eval_runtime': 52.3171, 'eval_samples_per_second': 772.788, 'eval_steps_per_second': 96.603}"
5,0.7922829581993569,"{'eval_loss': 0.4510999321937561, 'eval_model_preparation_time': 0.0016, 'eval_accuracy': 0.7922829581993569, 'eval_f1': 0.7439634146341464, 'eval_combined_score': 0.7681231864167517, 'eval_runtime': 52.4387, 'eval_samples_per_second': 770.996, 'eval_steps_per_second': 96.379}"
6,0.759436062329953,"{'eval_loss': 0.48704686760902405, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.759436062329953, 'eval_f1': 0.6881292887834285, 'eval_combined_score': 0.7237826755566907, 'eval_runtime': 52.314, 'eval_samples_per_second': 772.833, 'eval_steps_per_second': 96.609}"
7,0.7201582982933465,"{'eval_loss': 0.5455829501152039, 'eval_model_preparation_time': 0.0019, 'eval_accuracy': 0.7201582982933465, 'eval_f1': 0.5665798345081213, 'eval_combined_score': 0.6433690664007339, 'eval_runtime': 52.2651, 'eval_samples_per_second': 773.556, 'eval_steps_per_second': 96.699}"
8,0.6922087558743507,"{'eval_loss': 0.5839425325393677, 'eval_model_preparation_time': 0.0016, 'eval_accuracy': 0.6922087558743507, 'eval_f1': 0.47714285714285715, 'eval_combined_score': 0.584675806508604, 'eval_runtime': 52.1288, 'eval_samples_per_second': 775.58, 'eval_steps_per_second': 96.952}"
9,0.679248083106604,"{'eval_loss': 0.5927245020866394, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.679248083106604, 'eval_f1': 0.42205187628130847, 'eval_combined_score': 0.5506499796939562, 'eval_runtime': 52.0815, 'eval_samples_per_second': 776.283, 'eval_steps_per_second': 97.04}"
10,0.6584961662132081,"{'eval_loss': 0.6077425479888916, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.6584961662132081, 'eval_f1': 0.5382737517974785, 'eval_combined_score': 0.5983849590053433, 'eval_runtime': 51.9679, 'eval_samples_per_second': 777.981, 'eval_steps_per_second': 97.252}"
