Round,Accuracy,Info
1,0.5563442987880287,"{'eval_loss': 0.7604636549949646, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.5563442987880287, 'eval_f1': 0.6235597808978153, 'eval_combined_score': 0.589952039842922, 'eval_runtime': 53.1726, 'eval_samples_per_second': 760.354, 'eval_steps_per_second': 95.049}"
2,0.8324016819193668,"{'eval_loss': 0.36812570691108704, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8324016819193668, 'eval_f1': 0.8064884624171808, 'eval_combined_score': 0.8194450721682738, 'eval_runtime': 52.8723, 'eval_samples_per_second': 764.673, 'eval_steps_per_second': 95.589}"
3,0.8662626762305219,"{'eval_loss': 0.3290066719055176, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8662626762305219, 'eval_f1': 0.8284200171357853, 'eval_combined_score': 0.8473413466831536, 'eval_runtime': 52.3438, 'eval_samples_per_second': 772.393, 'eval_steps_per_second': 96.554}"
4,0.8644076181053673,"{'eval_loss': 0.3777308464050293, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8644076181053673, 'eval_f1': 0.8240806110005776, 'eval_combined_score': 0.8442441145529724, 'eval_runtime': 52.6747, 'eval_samples_per_second': 767.542, 'eval_steps_per_second': 95.947}"
5,0.8628741033885728,"{'eval_loss': 0.43702203035354614, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8628741033885728, 'eval_f1': 0.8216216216216217, 'eval_combined_score': 0.8422478625050973, 'eval_runtime': 52.3677, 'eval_samples_per_second': 772.041, 'eval_steps_per_second': 96.51}"
6,0.8601533514716795,"{'eval_loss': 0.48262912034988403, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8601533514716795, 'eval_f1': 0.8186309103740297, 'eval_combined_score': 0.8393921309228546, 'eval_runtime': 52.7599, 'eval_samples_per_second': 766.302, 'eval_steps_per_second': 95.792}"
7,0.8565174375463764,"{'eval_loss': 0.5157672166824341, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8565174375463764, 'eval_f1': 0.8148597325503463, 'eval_combined_score': 0.8356885850483613, 'eval_runtime': 52.7767, 'eval_samples_per_second': 766.058, 'eval_steps_per_second': 95.762}"
8,0.85392035617116,"{'eval_loss': 0.534674882888794, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.85392035617116, 'eval_f1': 0.8102672834746851, 'eval_combined_score': 0.8320938198229226, 'eval_runtime': 52.5032, 'eval_samples_per_second': 770.048, 'eval_steps_per_second': 96.261}"
9,0.8506059856542172,"{'eval_loss': 0.5271528363227844, 'eval_model_preparation_time': 0.0016, 'eval_accuracy': 0.8506059856542172, 'eval_f1': 0.8049221626509916, 'eval_combined_score': 0.8277640741526044, 'eval_runtime': 52.4697, 'eval_samples_per_second': 770.54, 'eval_steps_per_second': 96.322}"
10,0.846203314370517,"{'eval_loss': 0.5169875621795654, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.846203314370517, 'eval_f1': 0.7984963380646833, 'eval_combined_score': 0.8223498262176001, 'eval_runtime': 52.5018, 'eval_samples_per_second': 770.068, 'eval_steps_per_second': 96.263}"
