Round,Accuracy,Info
1,0.7971061093247589,"{'eval_loss': 0.40932756662368774, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.7971061093247589, 'eval_f1': 0.7769529869211735, 'eval_combined_score': 0.7870295481229662, 'eval_runtime': 53.1157, 'eval_samples_per_second': 761.168, 'eval_steps_per_second': 95.151}"
2,0.8618600049468217,"{'eval_loss': 0.32579198479652405, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8618600049468217, 'eval_f1': 0.8258008171922273, 'eval_combined_score': 0.8438304110695245, 'eval_runtime': 52.5824, 'eval_samples_per_second': 768.889, 'eval_steps_per_second': 96.116}"
3,0.8598565421716547,"{'eval_loss': 0.34869807958602905, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8598565421716547, 'eval_f1': 0.8253067768391195, 'eval_combined_score': 0.8425816595053871, 'eval_runtime': 52.1154, 'eval_samples_per_second': 775.778, 'eval_steps_per_second': 96.977}"
4,0.8516448182043037,"{'eval_loss': 0.373717337846756, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8516448182043037, 'eval_f1': 0.8167318504033244, 'eval_combined_score': 0.8341883343038141, 'eval_runtime': 52.1456, 'eval_samples_per_second': 775.329, 'eval_steps_per_second': 96.921}"
5,0.8449418748454118,"{'eval_loss': 0.38640591502189636, 'eval_model_preparation_time': 0.0024, 'eval_accuracy': 0.8449418748454118, 'eval_f1': 0.8083519305432423, 'eval_combined_score': 0.8266469026943271, 'eval_runtime': 52.1513, 'eval_samples_per_second': 775.244, 'eval_steps_per_second': 96.91}"
6,0.8364580756863715,"{'eval_loss': 0.3872329294681549, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8364580756863715, 'eval_f1': 0.795862920654523, 'eval_combined_score': 0.8161604981704473, 'eval_runtime': 52.2555, 'eval_samples_per_second': 773.698, 'eval_steps_per_second': 96.717}"
7,0.8241899579520159,"{'eval_loss': 0.39642298221588135, 'eval_model_preparation_time': 0.0019, 'eval_accuracy': 0.8241899579520159, 'eval_f1': 0.7799244535265342, 'eval_combined_score': 0.802057205739275, 'eval_runtime': 52.3005, 'eval_samples_per_second': 773.033, 'eval_steps_per_second': 96.634}"
8,0.8059361860004947,"{'eval_loss': 0.4123430848121643, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8059361860004947, 'eval_f1': 0.7568488905417131, 'eval_combined_score': 0.7813925382711039, 'eval_runtime': 52.1151, 'eval_samples_per_second': 775.782, 'eval_steps_per_second': 96.978}"
9,0.7784813257482068,"{'eval_loss': 0.4487667679786682, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.7784813257482068, 'eval_f1': 0.7254781755762629, 'eval_combined_score': 0.7519797506622349, 'eval_runtime': 52.2189, 'eval_samples_per_second': 774.241, 'eval_steps_per_second': 96.785}"
10,0.7451150136037595,"{'eval_loss': 0.4923071563243866, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.7451150136037595, 'eval_f1': 0.6948746039735884, 'eval_combined_score': 0.719994808788674, 'eval_runtime': 52.1776, 'eval_samples_per_second': 774.853, 'eval_steps_per_second': 96.861}"
