Round,Accuracy,Info
1,0.83635913925303,"{'eval_loss': 0.35624390840530396, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.83635913925303, 'eval_f1': 0.7893664438077046, 'eval_combined_score': 0.8128627915303672, 'eval_runtime': 53.1594, 'eval_samples_per_second': 760.543, 'eval_steps_per_second': 95.073}"
2,0.8597576057383132,"{'eval_loss': 0.31932032108306885, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8597576057383132, 'eval_f1': 0.8157775034115277, 'eval_combined_score': 0.8377675545749204, 'eval_runtime': 52.7106, 'eval_samples_per_second': 767.019, 'eval_steps_per_second': 95.882}"
3,0.8672273064556023,"{'eval_loss': 0.322363018989563, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8672273064556023, 'eval_f1': 0.8254989922631818, 'eval_combined_score': 0.846363149359392, 'eval_runtime': 52.275, 'eval_samples_per_second': 773.409, 'eval_steps_per_second': 96.681}"
4,0.867647786297304,"{'eval_loss': 0.3433995544910431, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.867647786297304, 'eval_f1': 0.8265421893740478, 'eval_combined_score': 0.8470949878356759, 'eval_runtime': 52.3795, 'eval_samples_per_second': 771.867, 'eval_steps_per_second': 96.488}"
5,0.8659906010388325,"{'eval_loss': 0.3685494363307953, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8659906010388325, 'eval_f1': 0.8245693563009973, 'eval_combined_score': 0.8452799786699149, 'eval_runtime': 52.3024, 'eval_samples_per_second': 773.004, 'eval_steps_per_second': 96.63}"
6,0.864580756863715,"{'eval_loss': 0.39204782247543335, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.864580756863715, 'eval_f1': 0.8230388829632502, 'eval_combined_score': 0.8438098199134827, 'eval_runtime': 52.3427, 'eval_samples_per_second': 772.41, 'eval_steps_per_second': 96.556}"
7,0.861315854563443,"{'eval_loss': 0.4166949391365051, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.861315854563443, 'eval_f1': 0.8194842406876791, 'eval_combined_score': 0.8404000476255611, 'eval_runtime': 52.7628, 'eval_samples_per_second': 766.259, 'eval_steps_per_second': 95.787}"
8,0.8580262181548355,"{'eval_loss': 0.43480920791625977, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8580262181548355, 'eval_f1': 0.8150058012118087, 'eval_combined_score': 0.8365160096833221, 'eval_runtime': 52.329, 'eval_samples_per_second': 772.611, 'eval_steps_per_second': 96.581}"
9,0.8556270096463022,"{'eval_loss': 0.4471757113933563, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8556270096463022, 'eval_f1': 0.8118735295065588, 'eval_combined_score': 0.8337502695764305, 'eval_runtime': 52.3544, 'eval_samples_per_second': 772.237, 'eval_steps_per_second': 96.534}"
10,0.8508285926292357,"{'eval_loss': 0.45715174078941345, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8508285926292357, 'eval_f1': 0.8052820198237174, 'eval_combined_score': 0.8280553062264766, 'eval_runtime': 52.3698, 'eval_samples_per_second': 772.01, 'eval_steps_per_second': 96.506}"
