Round,Accuracy,Info
1,0.8285926292357161,"{'eval_loss': 0.37359192967414856, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8285926292357161, 'eval_f1': 0.749747219413549, 'eval_combined_score': 0.7891699243246326, 'eval_runtime': 53.4448, 'eval_samples_per_second': 756.482, 'eval_steps_per_second': 94.565}"
2,0.8609943111550828,"{'eval_loss': 0.3191845715045929, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8609943111550828, 'eval_f1': 0.8191763191763192, 'eval_combined_score': 0.8400853151657011, 'eval_runtime': 52.8505, 'eval_samples_per_second': 764.989, 'eval_steps_per_second': 95.628}"
3,0.8646054909720504,"{'eval_loss': 0.33631598949432373, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8646054909720504, 'eval_f1': 0.8220068934122391, 'eval_combined_score': 0.8433061921921448, 'eval_runtime': 52.2842, 'eval_samples_per_second': 773.274, 'eval_steps_per_second': 96.664}"
4,0.8580262181548355,"{'eval_loss': 0.36603647470474243, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8580262181548355, 'eval_f1': 0.814683282753277, 'eval_combined_score': 0.8363547504540563, 'eval_runtime': 52.4765, 'eval_samples_per_second': 770.44, 'eval_steps_per_second': 96.31}"
5,0.8506307197625526,"{'eval_loss': 0.3906872570514679, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8506307197625526, 'eval_f1': 0.8043668405196152, 'eval_combined_score': 0.8274987801410838, 'eval_runtime': 52.4389, 'eval_samples_per_second': 770.992, 'eval_steps_per_second': 96.379}"
6,0.8435814988869651,"{'eval_loss': 0.39666810631752014, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8435814988869651, 'eval_f1': 0.7941004102363743, 'eval_combined_score': 0.8188409545616697, 'eval_runtime': 52.3642, 'eval_samples_per_second': 772.092, 'eval_steps_per_second': 96.516}"
7,0.8331931733860994,"{'eval_loss': 0.39834877848625183, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8331931733860994, 'eval_f1': 0.775603912956678, 'eval_combined_score': 0.8043985431713887, 'eval_runtime': 52.3133, 'eval_samples_per_second': 772.844, 'eval_steps_per_second': 96.61}"
8,0.8166707890180559,"{'eval_loss': 0.40943795442581177, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8166707890180559, 'eval_f1': 0.754861754200291, 'eval_combined_score': 0.7857662716091735, 'eval_runtime': 52.4498, 'eval_samples_per_second': 770.832, 'eval_steps_per_second': 96.359}"
9,0.7955725946079644,"{'eval_loss': 0.4289838373661041, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.7955725946079644, 'eval_f1': 0.7304217358687498, 'eval_combined_score': 0.7629971652383571, 'eval_runtime': 52.3131, 'eval_samples_per_second': 772.846, 'eval_steps_per_second': 96.611}"
10,0.7749690823645807,"{'eval_loss': 0.45575231313705444, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.7749690823645807, 'eval_f1': 0.7050317727921152, 'eval_combined_score': 0.7400004275783479, 'eval_runtime': 52.3166, 'eval_samples_per_second': 772.795, 'eval_steps_per_second': 96.604}"
