Round,Accuracy,Info
1,0.8108335394509028,"{'eval_loss': 0.3888912796974182, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8108335394509028, 'eval_f1': 0.7864999162525822, 'eval_combined_score': 0.7986667278517425, 'eval_runtime': 53.674, 'eval_samples_per_second': 753.251, 'eval_steps_per_second': 94.161}"
2,0.8695028444224586,"{'eval_loss': 0.3046624958515167, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8695028444224586, 'eval_f1': 0.8313946056500064, 'eval_combined_score': 0.8504487250362325, 'eval_runtime': 52.9884, 'eval_samples_per_second': 762.997, 'eval_steps_per_second': 95.379}"
3,0.8760573831313381,"{'eval_loss': 0.3129110336303711, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8760573831313381, 'eval_f1': 0.8376057296561558, 'eval_combined_score': 0.856831556393747, 'eval_runtime': 52.4567, 'eval_samples_per_second': 770.73, 'eval_steps_per_second': 96.346}"
4,0.8773188226564432,"{'eval_loss': 0.3283318877220154, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8773188226564432, 'eval_f1': 0.8388040298992525, 'eval_combined_score': 0.8580614262778479, 'eval_runtime': 52.4826, 'eval_samples_per_second': 770.351, 'eval_steps_per_second': 96.299}"
5,0.8773682908731141,"{'eval_loss': 0.345173180103302, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8773682908731141, 'eval_f1': 0.8384384775808134, 'eval_combined_score': 0.8579033842269637, 'eval_runtime': 52.3573, 'eval_samples_per_second': 772.195, 'eval_steps_per_second': 96.529}"
6,0.8755627009646302,"{'eval_loss': 0.36942988634109497, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8755627009646302, 'eval_f1': 0.8368306684396588, 'eval_combined_score': 0.8561966847021445, 'eval_runtime': 52.4154, 'eval_samples_per_second': 771.338, 'eval_steps_per_second': 96.422}"
7,0.8733860994311156,"{'eval_loss': 0.38595864176750183, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8733860994311156, 'eval_f1': 0.8343740900119714, 'eval_combined_score': 0.8538800947215435, 'eval_runtime': 52.3881, 'eval_samples_per_second': 771.74, 'eval_steps_per_second': 96.472}"
8,0.8714321048726194,"{'eval_loss': 0.39906051754951477, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8714321048726194, 'eval_f1': 0.8322468211450332, 'eval_combined_score': 0.8518394630088263, 'eval_runtime': 52.5345, 'eval_samples_per_second': 769.589, 'eval_steps_per_second': 96.203}"
9,0.8692555033391046,"{'eval_loss': 0.410161554813385, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8692555033391046, 'eval_f1': 0.8294728692173688, 'eval_combined_score': 0.8493641862782367, 'eval_runtime': 52.379, 'eval_samples_per_second': 771.874, 'eval_steps_per_second': 96.489}"
10,0.8657927281721494,"{'eval_loss': 0.4130876362323761, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8657927281721494, 'eval_f1': 0.8244581041734067, 'eval_combined_score': 0.845125416172778, 'eval_runtime': 52.3604, 'eval_samples_per_second': 772.149, 'eval_steps_per_second': 96.523}"
