Round,Accuracy,Info
1,0.6190452634182537,"{'eval_loss': 0.6386376023292542, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.6190452634182537, 'eval_f1': 0.6582345892690721, 'eval_combined_score': 0.6386399263436628, 'eval_runtime': 53.283, 'eval_samples_per_second': 758.779, 'eval_steps_per_second': 94.852}"
2,0.7853574078654465,"{'eval_loss': 0.4528917670249939, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.7853574078654465, 'eval_f1': 0.7701192052980133, 'eval_combined_score': 0.7777383065817298, 'eval_runtime': 52.7032, 'eval_samples_per_second': 767.126, 'eval_steps_per_second': 95.895}"
3,0.8425674004452139,"{'eval_loss': 0.36118176579475403, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8425674004452139, 'eval_f1': 0.8152019278227797, 'eval_combined_score': 0.8288846641339969, 'eval_runtime': 52.3536, 'eval_samples_per_second': 772.249, 'eval_steps_per_second': 96.536}"
4,0.8539698243878309,"{'eval_loss': 0.3454728126525879, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8539698243878309, 'eval_f1': 0.821835958718088, 'eval_combined_score': 0.8379028915529594, 'eval_runtime': 52.3042, 'eval_samples_per_second': 772.978, 'eval_steps_per_second': 96.627}"
5,0.8529062577294089,"{'eval_loss': 0.3502689003944397, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8529062577294089, 'eval_f1': 0.8174927113702624, 'eval_combined_score': 0.8351994845498356, 'eval_runtime': 52.6281, 'eval_samples_per_second': 768.22, 'eval_steps_per_second': 96.032}"
6,0.8447440019787287,"{'eval_loss': 0.3611718416213989, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8447440019787287, 'eval_f1': 0.8046191676782768, 'eval_combined_score': 0.8246815848285027, 'eval_runtime': 52.3949, 'eval_samples_per_second': 771.64, 'eval_steps_per_second': 96.46}"
7,0.8328963640860747,"{'eval_loss': 0.37837597727775574, 'eval_model_preparation_time': 0.0019, 'eval_accuracy': 0.8328963640860747, 'eval_f1': 0.7847036328871893, 'eval_combined_score': 0.808799998486632, 'eval_runtime': 52.4085, 'eval_samples_per_second': 771.44, 'eval_steps_per_second': 96.435}"
8,0.8141231758595102,"{'eval_loss': 0.4055009186267853, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8141231758595102, 'eval_f1': 0.7523479980227386, 'eval_combined_score': 0.7832355869411244, 'eval_runtime': 52.3697, 'eval_samples_per_second': 772.011, 'eval_steps_per_second': 96.506}"
9,0.7923076923076923,"{'eval_loss': 0.4395695626735687, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.7923076923076923, 'eval_f1': 0.7169009810862749, 'eval_combined_score': 0.7546043366969836, 'eval_runtime': 52.3366, 'eval_samples_per_second': 772.499, 'eval_steps_per_second': 96.567}"
10,0.7724956715310413,"{'eval_loss': 0.4598826766014099, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.7724956715310413, 'eval_f1': 0.690865093768905, 'eval_combined_score': 0.7316803826499731, 'eval_runtime': 52.2844, 'eval_samples_per_second': 773.271, 'eval_steps_per_second': 96.664}"
