Round,Accuracy,Info
1,0.8016077170418007,"{'eval_loss': 0.4028056263923645, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8016077170418007, 'eval_f1': 0.7799632403368721, 'eval_combined_score': 0.7907854786893365, 'eval_runtime': 53.0076, 'eval_samples_per_second': 762.721, 'eval_steps_per_second': 95.345}"
2,0.8689339599307445,"{'eval_loss': 0.30185288190841675, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8689339599307445, 'eval_f1': 0.8344424657106257, 'eval_combined_score': 0.8516882128206851, 'eval_runtime': 52.8851, 'eval_samples_per_second': 764.488, 'eval_steps_per_second': 95.566}"
3,0.8793222854316102,"{'eval_loss': 0.30512943863868713, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8793222854316102, 'eval_f1': 0.8432953268026336, 'eval_combined_score': 0.8613088061171219, 'eval_runtime': 52.4501, 'eval_samples_per_second': 770.828, 'eval_steps_per_second': 96.358}"
4,0.8795448924066287,"{'eval_loss': 0.3264085352420807, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8795448924066287, 'eval_f1': 0.8427307369372861, 'eval_combined_score': 0.8611378146719574, 'eval_runtime': 52.4914, 'eval_samples_per_second': 770.222, 'eval_steps_per_second': 96.282}"
5,0.8783823893148652,"{'eval_loss': 0.34304141998291016, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8783823893148652, 'eval_f1': 0.8402793568296248, 'eval_combined_score': 0.8593308730722451, 'eval_runtime': 52.5173, 'eval_samples_per_second': 769.842, 'eval_steps_per_second': 96.235}"
6,0.875612169181301,"{'eval_loss': 0.36460328102111816, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.875612169181301, 'eval_f1': 0.8363222131814483, 'eval_combined_score': 0.8559671911813747, 'eval_runtime': 52.4092, 'eval_samples_per_second': 771.429, 'eval_steps_per_second': 96.433}"
7,0.8744249319812021,"{'eval_loss': 0.39312535524368286, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8744249319812021, 'eval_f1': 0.8347922293449611, 'eval_combined_score': 0.8546085806630817, 'eval_runtime': 52.7487, 'eval_samples_per_second': 766.464, 'eval_steps_per_second': 95.813}"
8,0.8740044521395004,"{'eval_loss': 0.42670607566833496, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8740044521395004, 'eval_f1': 0.8345996493278784, 'eval_combined_score': 0.8543020507336894, 'eval_runtime': 52.4059, 'eval_samples_per_second': 771.478, 'eval_steps_per_second': 96.439}"
9,0.8729903536977492,"{'eval_loss': 0.44163262844085693, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8729903536977492, 'eval_f1': 0.8322279217172542, 'eval_combined_score': 0.8526091377075018, 'eval_runtime': 52.4057, 'eval_samples_per_second': 771.481, 'eval_steps_per_second': 96.44}"
10,0.8692060351224339,"{'eval_loss': 0.45032158493995667, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8692060351224339, 'eval_f1': 0.8277636636049769, 'eval_combined_score': 0.8484848493637054, 'eval_runtime': 52.3305, 'eval_samples_per_second': 772.59, 'eval_steps_per_second': 96.578}"
