Round,Accuracy,Info
1,0.8738532110091743,"{'eval_loss': 0.28583458065986633, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8738532110091743, 'eval_runtime': 1.5707, 'eval_samples_per_second': 555.169, 'eval_steps_per_second': 69.396}"
2,0.8956422018348624,"{'eval_loss': 0.26391157507896423, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8956422018348624, 'eval_runtime': 1.1035, 'eval_samples_per_second': 790.218, 'eval_steps_per_second': 98.777}"
3,0.8864678899082569,"{'eval_loss': 0.2945558428764343, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8864678899082569, 'eval_runtime': 1.092, 'eval_samples_per_second': 798.516, 'eval_steps_per_second': 99.814}"
4,0.8532110091743119,"{'eval_loss': 0.33704838156700134, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8532110091743119, 'eval_runtime': 1.0995, 'eval_samples_per_second': 793.067, 'eval_steps_per_second': 99.133}"
5,0.819954128440367,"{'eval_loss': 0.3994412422180176, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.819954128440367, 'eval_runtime': 1.095, 'eval_samples_per_second': 796.345, 'eval_steps_per_second': 99.543}"
6,0.7545871559633027,"{'eval_loss': 0.4792601466178894, 'eval_model_preparation_time': 0.0019, 'eval_accuracy': 0.7545871559633027, 'eval_runtime': 1.0989, 'eval_samples_per_second': 793.527, 'eval_steps_per_second': 99.191}"
7,0.731651376146789,"{'eval_loss': 0.5231542587280273, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.731651376146789, 'eval_runtime': 1.0934, 'eval_samples_per_second': 797.493, 'eval_steps_per_second': 99.687}"
8,0.7213302752293578,"{'eval_loss': 0.548134982585907, 'eval_model_preparation_time': 0.0016, 'eval_accuracy': 0.7213302752293578, 'eval_runtime': 1.0884, 'eval_samples_per_second': 801.184, 'eval_steps_per_second': 100.148}"
9,0.7052752293577982,"{'eval_loss': 0.5833055973052979, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.7052752293577982, 'eval_runtime': 1.0843, 'eval_samples_per_second': 804.179, 'eval_steps_per_second': 100.522}"
10,0.6880733944954128,"{'eval_loss': 0.5823148488998413, 'eval_model_preparation_time': 0.002, 'eval_accuracy': 0.6880733944954128, 'eval_runtime': 1.0778, 'eval_samples_per_second': 809.032, 'eval_steps_per_second': 101.129}"
