Round,Accuracy,Info
1,0.875,"{'eval_loss': 0.29393211007118225, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.875, 'eval_runtime': 1.5697, 'eval_samples_per_second': 555.503, 'eval_steps_per_second': 69.438}"
2,0.8967889908256881,"{'eval_loss': 0.2758752703666687, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8967889908256881, 'eval_runtime': 1.1067, 'eval_samples_per_second': 787.904, 'eval_steps_per_second': 98.488}"
3,0.8956422018348624,"{'eval_loss': 0.2950790524482727, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8956422018348624, 'eval_runtime': 1.0969, 'eval_samples_per_second': 794.969, 'eval_steps_per_second': 99.371}"
4,0.8979357798165137,"{'eval_loss': 0.34250977635383606, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8979357798165137, 'eval_runtime': 1.1013, 'eval_samples_per_second': 791.762, 'eval_steps_per_second': 98.97}"
5,0.8922018348623854,"{'eval_loss': 0.3701232373714447, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8922018348623854, 'eval_runtime': 1.1012, 'eval_samples_per_second': 791.886, 'eval_steps_per_second': 98.986}"
6,0.8899082568807339,"{'eval_loss': 0.39163294434547424, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8899082568807339, 'eval_runtime': 1.099, 'eval_samples_per_second': 793.459, 'eval_steps_per_second': 99.182}"
7,0.8818807339449541,"{'eval_loss': 0.3595203459262848, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8818807339449541, 'eval_runtime': 1.0998, 'eval_samples_per_second': 792.864, 'eval_steps_per_second': 99.108}"
8,0.8612385321100917,"{'eval_loss': 0.38106998801231384, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8612385321100917, 'eval_runtime': 1.0953, 'eval_samples_per_second': 796.142, 'eval_steps_per_second': 99.518}"
9,0.8486238532110092,"{'eval_loss': 0.38385310769081116, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8486238532110092, 'eval_runtime': 1.0991, 'eval_samples_per_second': 793.367, 'eval_steps_per_second': 99.171}"
10,0.8314220183486238,"{'eval_loss': 0.38163378834724426, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8314220183486238, 'eval_runtime': 1.0964, 'eval_samples_per_second': 795.334, 'eval_steps_per_second': 99.417}"
