Round,Accuracy,Info
1,0.8577981651376146,"{'eval_loss': 0.3400219678878784, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8577981651376146, 'eval_runtime': 1.5822, 'eval_samples_per_second': 551.125, 'eval_steps_per_second': 68.891}"
2,0.8830275229357798,"{'eval_loss': 0.28021955490112305, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8830275229357798, 'eval_runtime': 1.1165, 'eval_samples_per_second': 781.002, 'eval_steps_per_second': 97.625}"
3,0.8761467889908257,"{'eval_loss': 0.3086843192577362, 'eval_model_preparation_time': 0.0016, 'eval_accuracy': 0.8761467889908257, 'eval_runtime': 1.0967, 'eval_samples_per_second': 795.108, 'eval_steps_per_second': 99.389}"
4,0.8348623853211009,"{'eval_loss': 0.36512479186058044, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8348623853211009, 'eval_runtime': 1.1079, 'eval_samples_per_second': 787.052, 'eval_steps_per_second': 98.382}"
5,0.7786697247706422,"{'eval_loss': 0.44031959772109985, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.7786697247706422, 'eval_runtime': 1.1027, 'eval_samples_per_second': 790.763, 'eval_steps_per_second': 98.845}"
6,0.7396788990825688,"{'eval_loss': 0.4905148446559906, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.7396788990825688, 'eval_runtime': 1.0951, 'eval_samples_per_second': 796.242, 'eval_steps_per_second': 99.53}"
7,0.7213302752293578,"{'eval_loss': 0.5499287843704224, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.7213302752293578, 'eval_runtime': 1.1014, 'eval_samples_per_second': 791.738, 'eval_steps_per_second': 98.967}"
8,0.6880733944954128,"{'eval_loss': 0.57566237449646, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.6880733944954128, 'eval_runtime': 1.0988, 'eval_samples_per_second': 793.604, 'eval_steps_per_second': 99.2}"
9,0.6743119266055045,"{'eval_loss': 0.5962262749671936, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.6743119266055045, 'eval_runtime': 1.0788, 'eval_samples_per_second': 808.284, 'eval_steps_per_second': 101.035}"
10,0.6743119266055045,"{'eval_loss': 0.5955448746681213, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.6743119266055045, 'eval_runtime': 1.072, 'eval_samples_per_second': 813.465, 'eval_steps_per_second': 101.683}"
