Round,Accuracy,Info
1,0.8899082568807339,"{'eval_loss': 0.27002865076065063, 'eval_model_preparation_time': 0.0019, 'eval_accuracy': 0.8899082568807339, 'eval_runtime': 1.5559, 'eval_samples_per_second': 560.433, 'eval_steps_per_second': 70.054}"
2,0.8956422018348624,"{'eval_loss': 0.26410192251205444, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8956422018348624, 'eval_runtime': 1.1158, 'eval_samples_per_second': 781.515, 'eval_steps_per_second': 97.689}"
3,0.8979357798165137,"{'eval_loss': 0.2949409484863281, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8979357798165137, 'eval_runtime': 1.0968, 'eval_samples_per_second': 795.015, 'eval_steps_per_second': 99.377}"
4,0.8910550458715596,"{'eval_loss': 0.34332913160324097, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8910550458715596, 'eval_runtime': 1.106, 'eval_samples_per_second': 788.423, 'eval_steps_per_second': 98.553}"
5,0.8830275229357798,"{'eval_loss': 0.4052114486694336, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8830275229357798, 'eval_runtime': 1.1059, 'eval_samples_per_second': 788.491, 'eval_steps_per_second': 98.561}"
6,0.8704128440366973,"{'eval_loss': 0.39792388677597046, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8704128440366973, 'eval_runtime': 1.1009, 'eval_samples_per_second': 792.097, 'eval_steps_per_second': 99.012}"
7,0.8555045871559633,"{'eval_loss': 0.38128605484962463, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8555045871559633, 'eval_runtime': 1.0941, 'eval_samples_per_second': 797.022, 'eval_steps_per_second': 99.628}"
8,0.8268348623853211,"{'eval_loss': 0.3937053978443146, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8268348623853211, 'eval_runtime': 1.1092, 'eval_samples_per_second': 786.171, 'eval_steps_per_second': 98.271}"
9,0.7901376146788991,"{'eval_loss': 0.42619821429252625, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.7901376146788991, 'eval_runtime': 1.1014, 'eval_samples_per_second': 791.748, 'eval_steps_per_second': 98.968}"
10,0.7557339449541285,"{'eval_loss': 0.49607083201408386, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.7557339449541285, 'eval_runtime': 1.0971, 'eval_samples_per_second': 794.788, 'eval_steps_per_second': 99.349}"
