Round,Accuracy,Info
1,0.875,"{'eval_loss': 0.2816094160079956, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.875, 'eval_runtime': 1.5638, 'eval_samples_per_second': 557.622, 'eval_steps_per_second': 69.703}"
2,0.8864678899082569,"{'eval_loss': 0.2774561643600464, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8864678899082569, 'eval_runtime': 1.1063, 'eval_samples_per_second': 788.233, 'eval_steps_per_second': 98.529}"
3,0.8853211009174312,"{'eval_loss': 0.3425891697406769, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8853211009174312, 'eval_runtime': 1.0893, 'eval_samples_per_second': 800.496, 'eval_steps_per_second': 100.062}"
4,0.8899082568807339,"{'eval_loss': 0.3912372291088104, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8899082568807339, 'eval_runtime': 1.0972, 'eval_samples_per_second': 794.763, 'eval_steps_per_second': 99.345}"
5,0.8807339449541285,"{'eval_loss': 0.4641353487968445, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.8807339449541285, 'eval_runtime': 1.0986, 'eval_samples_per_second': 793.764, 'eval_steps_per_second': 99.221}"
6,0.8853211009174312,"{'eval_loss': 0.4064600467681885, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8853211009174312, 'eval_runtime': 1.09, 'eval_samples_per_second': 799.972, 'eval_steps_per_second': 99.996}"
7,0.875,"{'eval_loss': 0.39017924666404724, 'eval_model_preparation_time': 0.0018, 'eval_accuracy': 0.875, 'eval_runtime': 1.096, 'eval_samples_per_second': 795.628, 'eval_steps_per_second': 99.453}"
8,0.8543577981651376,"{'eval_loss': 0.4178538918495178, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8543577981651376, 'eval_runtime': 1.0965, 'eval_samples_per_second': 795.235, 'eval_steps_per_second': 99.404}"
9,0.8405963302752294,"{'eval_loss': 0.4088389575481415, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8405963302752294, 'eval_runtime': 1.0906, 'eval_samples_per_second': 799.539, 'eval_steps_per_second': 99.942}"
10,0.8119266055045872,"{'eval_loss': 0.43106555938720703, 'eval_model_preparation_time': 0.0017, 'eval_accuracy': 0.8119266055045872, 'eval_runtime': 1.095, 'eval_samples_per_second': 796.366, 'eval_steps_per_second': 99.546}"
